match_id,date,season,tournament_name,is_worldcup,match_stage,team1,team2,venue,city,toss_winner,toss_decision,winner,result_type,format,innings1_team,innings1_runs,innings1_wkts,innings1_overs,innings2_team,innings2_runs,innings2_wkts,innings2_overs,year,month,batting_first,chasing_team,first_innings_score,second_innings_score,match_result,elo_team1,elo_team2,elo_diff,team1_form_5,team2_form_5,team1_form_10,team2_form_10,h2h_win_pct
5722375721,2024-02-04,2024,Asian Cricket Council Men's Challenger Cup,0,Unknown,Singapore,Thailand,"Terdthai Cricket Ground, Bangkok",Bangkok,Singapore,bat,Thailand,unknown,T20,Singapore,115,9,21.5,Thailand,116,3,19.2,2024,2,Singapore,Thailand,115.0,116.0,completed,1343.87867031606,1553.64603932896,-209.767369012907,0.2,0.4,0.4,0.55,0.5
1664618088,2024-02-04,2024,Asian Cricket Council Men's Challenger Cup,0,Unknown,Japan,Maldives,"Terdthai Cricket Ground, Bangkok",Bangkok,Japan,bat,Japan,unknown,T20,Japan,150,8,20.7,Maldives,108,10,19.7,2024,2,Japan,Maldives,150.0,108.0,completed,1453.88031217449,1327.98009111385,125.900221060641,0.2,0.0,0.4,0.1,0.5
-918247270,2024-02-04,2024,Kuwait Women tour of Malaysia,0,Unknown,Malaysia,Kuwait,Johor Cricket Academy Oval,Johor,Kuwait,field,Malaysia,unknown,T20,Malaysia,108,6,21.8,Kuwait,82,7,21.8,2024,2,Malaysia,Kuwait,108.0,82.0,completed,1539.68667454935,1479.34258553491,60.3440890144441,0.2,0.6,0.45,0.6,1.0
8301052334,2024-02-05,2024,Asian Cricket Council Men's Challenger Cup,0,Unknown,Saudi Arabia,Indonesia,"Terdthai Cricket Ground, Bangkok",Bangkok,Saudi Arabia,bat,Saudi Arabia,unknown,T20,Saudi Arabia,185,4,21.2,Indonesia,103,9,21.2,2024,2,Saudi Arabia,Indonesia,185.0,103.0,completed,1416.0191229455,1478.255806793,-62.2366838474986,0.6,0.3,0.5,0.45,0.5
-565717748,2024-02-05,2024,Kuwait Women tour of Malaysia,0,Unknown,Kuwait,Malaysia,Johor Cricket Academy Oval,Johor,Malaysia,field,Malaysia,unknown,T20,Kuwait,98,7,20.5,Malaysia,99,5,17.0,2024,2,Kuwait,Malaysia,98.0,99.0,completed,1466.09392319229,1552.93533689196,-86.8414136996732,0.4,0.4,0.6,0.45,0.0
-847250977,2024-02-06,2024,Asian Cricket Council Men's Challenger Cup,0,Unknown,Singapore,Japan,"Terdthai Cricket Ground, Bangkok",Bangkok,Japan,field,Singapore,unknown,T20,Singapore,176,5,20.8,Japan,142,8,20.5,2024,2,Singapore,Japan,176.0,142.0,completed,1336.51417433608,1464.32351451416,-127.809340178083,0.2,0.4,0.3,0.5,0.5
-276828740,2024-02-06,2024,Asian Cricket Council Men's Challenger Cup,0,Unknown,Maldives,Thailand,"Terdthai Cricket Ground, Bangkok",Bangkok,Maldives,bat,Thailand,unknown,T20,Maldives,127,7,20.8,Thailand,128,2,10.3,2024,2,Maldives,Thailand,127.0,128.0,completed,1317.53688877417,1561.01053530894,-243.473646534766,0.0,0.4,0.1,0.55,1.0
5183142282,2024-02-07,2024,Asian Cricket Council Men's Challenger Cup,0,5th Place Play-Off,Indonesia,Thailand,"Terdthai Cricket Ground, Bangkok",Bangkok,Thailand,field,Thailand,unknown,T20,Indonesia,131,8,21.0,Thailand,132,3,18.2,2024,2,Indonesia,Thailand,131.0,132.0,completed,1459.41996912879,1567.33279914895,-107.912830020155,0.3,0.4,0.45,0.55,0.5
-741398859,2024-02-07,2024,Asian Cricket Council Men's Challenger Cup,0,7th Place Play-Off,Maldives,Bhutan,"Terdthai Cricket Ground, Bangkok",Bangkok,Maldives,bat,Maldives,unknown,T20,Maldives,137,8,21.7,Bhutan,105,10,19.0,2024,2,Maldives,Bhutan,137.0,105.0,completed,1311.21462493417,1425.96699374725,-114.75236881308,0.0,0.2,0.1,0.3,0.0
-229329933,2024-02-09,2024,West Indies tour of Australia,0,Unknown,Australia,West Indies,"Bellerive Oval, Hobart",Hobart,West Indies,field,Australia,unknown,T20,Australia,213,7,20.8,West Indies,202,8,21.0,2024,2,Australia,West Indies,213.0,202.0,completed,1760.93332865098,1626.05858244761,134.874746203374,0.8,0.6,0.5,0.5,0.533333333333333
6156867714,2024-02-09,2024,Asian Cricket Council Men's Challenger Cup,0,Semi Final,Japan,Saudi Arabia,"Terdthai Cricket Ground, Bangkok",Bangkok,Saudi Arabia,field,Saudi Arabia,unknown,T20,Japan,97,8,20.2,Saudi Arabia,98,0,9.5,2024,2,Japan,Saudi Arabia,97.0,98.0,completed,1442.68955115125,1434.85496060971,7.83459054153627,0.4,0.8,0.4,0.6,0.5
2773761218,2024-02-09,2024,Asian Cricket Council Men's Challenger Cup,0,Semi Final,Singapore,Cambodia,"Terdthai Cricket Ground, Bangkok",Bangkok,Singapore,bat,Cambodia,unknown,T20,Singapore,109,10,21.2,Cambodia,113,4,15.3,2024,2,Singapore,Cambodia,109.0,113.0,completed,1358.148137699,1482.33122335414,-124.18308565514,0.4,0.8,0.3,0.5,1.0
